,,AREA,,,,,,,,,,,,,CASES/DEATHS: LAST WEEK (May 20-26),,,,,CASES/DEATHS: % CHANGE FROM PREVIOUS WEEK,,CASES/DEATHS: PREVIOUS WEEK (May 13-19),,,,,CASES/DEATHS: OTHER METRICS,,,,,,,,,,"VIRAL (RT-PCR) LAB TESTING: LAST WEEK (May 18-24, Test Volume May 14-20 )",,,,,VIRAL (RT-PCR) LAB TESTING: % CHANGE FROM PREVIOUS WEEK,,,,"VIRAL (RT-PCR) LAB TESTING: PREVIOUS WEEK (May 11-17, Test Volume May 7-13 )",,,,,HOSPITAL UTILIZATION: LAST WEEK (May 19-25),,,,,,,,,,HOSPITAL UTILIZATION: CHANGE FROM PREVIOUS WEEK,,,,,,,,HOSPITAL REPORTING AND CAPACITY,,,,,,,,COVID-19 VACCINATION DATA: CUMULATIVE (May 27),,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA LAST WEEK,,,,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA % CHANGE FROM PREVIOUS WEEK,,,COVID-19 VACCINATION DATA: DEMOGRAPHIC DATA CUMULATIVE,,,,,,,,,,,,DEMOGRAPHIC DETAILS,,,,,,,,,,FORECASTING RESULTS (May 24)
"Clark County, OH",Clark County ,39023,Small metro,"Springfield, OH",Metropolitan,OH,5,"  134,083 ",100.0%,1.2%,0.0%,  -   ,"  1,693 ",1.3%,0.0%,  64 ,  48 ,  1 ,  0.7 ,-23%,,0.0%,  83 ,  62 ,  -   ,  -   ,"  14,179 ","  10,575 ",  302 ,  225 ,  -   ,  47 ,ModerateBurden,,Moderate,Substantial,2.5%,"  2,557 ","  1,907 ",  1.0 ,99%,-0.2%,-2%,  -   ,0%,2.7%,"  2,622 ","  1,956 ",  1.0 ,99%,  109 ,  39 ,  11 ,  4 ,72%,2%,76%,2%,14%,1%,-1%,-3%,-2%,0%,+11%,+2%,+3%,0%,  2 ,  280 ,  36 ,  85 ,100%,100%,100%,100%,"  53,209 ",39.7%,"  49,155 ",36.7%,  300 ,2.9%,"  1,119 ",1.1%,  157 ,0.6%,,,,"  1,544 ",14.9%,  579 ,5.6%,"  51,661 ",49.6%,"  48,576 ",46.6%,"  20,948 ",79.2%,"  20,208 ",76.4%,7%,16%,20%,  2.4 ,9%,4%,0%,1%,  0.73 ,  0.65 ,Uncertain
"Columbia County, PA",Columbia County ,42037,Small metro,"Bloomsburg-Berwick, PA",Metropolitan,PA,3,"  64,964 ",78.1%,0.5%,0.0%,  1 ,"  7,836 ",12.1%,0.0%,  64 ,  99 ,  -   ,  -   ,-23%,,0.0%,  83 ,  128 ,  -   ,  -   ,"  5,829 ","  8,973 ",  133 ,  205 ,  -   ,  14 ,SustainedHotspot,,Substantial,High,7.8%,  853 ,"  1,313 ",  1.0 ,100%,-2.0%,-20%,  -   ,+2%,9.8%,"  1,070 ","  1,647 ",  1.0 ,98%,  6 ,  10 ,  5 ,  8 ,62%,9%,25%,0%,0%,0%,+133%,-57%,0%,+3%,-61%,0%,0%,0%,  2 ,  62 ,  4 ,  12 ,100%,100%,100%,100%,"  31,654 ",48.7%,"  26,997 ",41.6%,  189 ,4.5%,  708 ,1.3%,  106 ,0.8%,,,,  758 ,18.2%,  196 ,4.7%,"  30,896 ",57.7%,"  26,801 ",50.0%,"  11,707 ",89.8%,"  10,656 ",81.8%,5%,14%,20%,  2.3 ,2%,3%,0%,1%,  0.28 ,  0.09 ,Uncertain
"Washington County, AR",Washington County ,5143,Medium metro,"Fayetteville-Springdale-Rogers, AR",Metropolitan,AR,6,"  239,187 ",44.7%,7.9%,0.1%,  1 ,"  22,602 ",9.5%,0.0%,  64 ,  27 ,  -   ,  -   ,-23%,-100%,0.0%,  83 ,  35 ,  2 ,  0.8 ,"  31,154 ","  13,025 ",  352 ,  147 ,  -   ,  13 ,ModerateBurden,,Moderate,Moderate,,  303 ,  127 ,  -   ,100%,,-73%,  -   ,+3%,2.1%,"  1,134 ",  474 ,  -   ,97%,  32 ,  5 ,  -   ,  -   ,86%,1%,31%,1%,34%,2%,+18%,,+1%,0%,-2%,+1%,-2%,0%,  7 ,  644 ,  165 ,  63 ,100%,86%,100%,100%,"  91,244 ",38.1%,"  71,538 ",29.9%,  667 ,3.5%,"  1,448 ",0.8%,  145 ,0.5%,,,,"  3,591 ",18.6%,"  1,443 ",7.5%,"  87,536 ",48.2%,"  70,088 ",38.6%,"  21,936 ",75.9%,"  18,778 ",64.9%,12%,17%,12%,  2.6 ,3%,17%,1%,3%,  0.67 ,  0.48 ,Uncertain
"Licking County, OH",Licking County ,39089,Large fringe metro,"Columbus, OH",Metropolitan,OH,5,"  176,862 ",8.3%,1.5%,0.1%,  -   ,"  4,827 ",2.7%,0.0%,  64 ,  36 ,  -   ,  -   ,+14%,,0.0%,  56 ,  32 ,  -   ,  -   ,"  16,570 ","  9,369 ",  214 ,  121 ,  -   ,  41 ,ModerateBurden,,Moderate,Moderate,2.7%,"  1,711 ",  967 ,  1.0 ,99%,+0.6%,-1%,  -   ,0%,2.1%,"  1,737 ",  982 ,  1.0 ,99%,  3 ,  2 ,  -   ,  -   ,56%,1%,79%,4%,22%,1%,-25%,,+3%,0%,+13%,-3%,+1%,0%,  2 ,  190 ,  13 ,  45 ,100%,100%,100%,100%,"  71,101 ",40.2%,"  66,055 ",37.3%,  416 ,3.0%,"  1,674 ",1.2%,  195 ,0.7%,,,,"  2,492 ",17.7%,"  1,093 ",7.8%,"  68,607 ",50.4%,"  64,962 ",47.7%,"  23,593 ",79.6%,"  22,736 ",76.7%,6%,11%,17%,  2.6 ,4%,2%,0%,2%,  0.23 ,  0.33 ,Uncertain
"Robeson County, NC",Robeson County ,37155,Micropolitan,"Lumberton, NC",Micropolitan,NC,4,"  130,625 ",100.0%,1.3%,0.0%,  1 ,"  5,274 ",4.0%,0.0%,  64 ,  49 ,  -   ,  -   ,-40%,-100%,0.0%,  106 ,  81 ,  6 ,  4.6 ,"  16,613 ","  12,718 ",  240 ,  184 ,  -   ,  17 ,ModerateBurden,,Moderate,Substantial,2.9%,"  1,285 ",  984 ,  1.0 ,100%,-1.3%,+1%,  -   ,+3%,4.3%,"  1,272 ",  974 ,  1.0 ,97%,  30 ,  10 ,  14 ,  5 ,53%,1%,53%,3%,18%,1%,+25%,-36%,-5%,-2%,-18%,-3%,-1%,-2%,  1 ,  308 ,  25 ,  27 ,100%,100%,100%,100%,"  32,494 ",24.9%,"  26,104 ",20.0%,  85 ,0.8%,  519 ,0.5%,  61 ,0.3%,,,,  427 ,4.0%,  157 ,1.5%,"  32,060 ",32.6%,"  25,944 ",26.4%,"  13,058 ",63.5%,"  11,781 ",57.3%,15%,28%,16%,  2.8 ,23%,9%,40%,1%,  0.99 ,  0.99 ,Likely Decreasing
"Watauga County, NC",Watauga County ,37189,Micropolitan,"Boone, NC",Micropolitan,NC,4,"  56,177 ",100.0%,0.5%,0.0%,  1 ,"  17,291 ",30.8%,0.0%,  64 ,  114 ,  -   ,  -   ,+28%,,0.0%,  50 ,  89 ,  -   ,  -   ,"  4,735 ","  8,429 ",  31 ,  55 ,  -   ,  14 ,EmergingHotspot,,High,Substantial,2.5%,  847 ,"  1,508 ",  1.0 ,100%,+0.1%,+13%,  -   ,+2%,2.4%,  752 ,"  1,339 ",  1.0 ,98%,  2 ,  3 ,  -   ,  -   ,68%,0%,96%,19%,40%,0%,0%,,-4%,0%,+17%,+9%,+10%,0%,  1 ,  70 ,  10 ,  13 ,100%,100%,100%,100%,"  25,422 ",45.3%,"  21,102 ",37.6%,  97 ,3.9%,  610 ,1.2%,  57 ,0.6%,,,,  222 ,8.9%,  64 ,2.6%,"  25,187 ",51.4%,"  21,033 ",42.9%,"  7,045 ",76.3%,"  6,317 ",68.4%,9%,27%,16%,  2.4 ,2%,4%,0%,1%,  0.41 ,  0.24 ,Likely Decreasing
"Unallocated, NE",Unallocated ,31000,,,,NE,7,,,,,,,,0.0%,  64 ,,  (1),,-682%,-50%,0.0%,  (11),,  (2),,"  1,962 ",,  6 ,,,,,,,,4.1%,  243 ,,,,+0.2%,-94%,,,3.9%,"  4,105 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"  165,337 ",,"  93,736 ",,  202 ,,"  2,813 ",,  184 ,,,,,  657 ,,  197 ,,"  164,638 ",,"  93,529 ",,"  75,399 ",,"  33,110 ",,,,,,,,,,,,Uncertain
"Laurel County, KY",Laurel County ,21125,Micropolitan,"London, KY",Micropolitan,KY,4,"  60,813 ",41.1%,1.4%,0.0%,  -   ,  -   ,0.0%,0.0%,  64 ,  105 ,  2 ,  3.3 ,+52%,+100%,0.0%,  42 ,  69 ,  1 ,  1.6 ,"  6,797 ","  11,177 ",  74 ,  122 ,  -   ,  49 ,EmergingHotspot,,High,Substantial,6.5%,  422 ,  694 ,  -   ,100%,+0.2%,-8%,  (1.0),+1%,6.2%,  458 ,  753 ,  1.0 ,99%,  46 ,  41 ,  -   ,  -   ,72%,6%,35%,1%,13%,1%,-4%,,-9%,0%,-10%,-3%,0%,+1%,  1 ,  112 ,  62 ,  26 ,100%,100%,100%,100%,"  17,481 ",28.7%,"  15,094 ",24.8%,  63 ,1.3%,  373 ,0.8%,  57 ,0.6%,,,,  280 ,5.8%,  115 ,2.4%,"  17,201 ",36.8%,"  14,979 ",32.0%,"  6,373 ",62.7%,"  5,890 ",57.9%,6%,24%,17%,  2.6 ,1%,2%,0%,1%,  0.75 ,  0.58 ,Uncertain
"Franklin County, WA",Franklin County ,53021,Medium metro,"Kennewick-Richland, WA",Metropolitan,WA,10,"  95,222 ",31.8%,1.3%,0.0%,  -   ,"  3,928 ",4.1%,0.0%,  64 ,  67 ,  -   ,  -   ,-28%,-100%,0.0%,  89 ,  93 ,  4 ,  4.2 ,"  12,516 ","  13,144 ",  115 ,  121 ,  -   ,  21 ,ModerateBurdenResolving,,Substantial,Substantial,3.4%,"  1,037 ","  1,089 ",,,-1.0%,-60%,,,4.4%,"  2,589 ","  2,719 ",,,  3 ,  10 ,  -   ,  -   ,38%,6%,21%,5%,18%,7%,0%,-100%,-10%,0%,-7%,0%,-4%,+7%,  1 ,  29 ,  6 ,  4 ,100%,100%,100%,100%,"  30,974 ",32.5%,"  25,011 ",26.3%,  365 ,3.6%,"  1,317 ",2.0%,  73 ,0.8%,,,,"  1,116 ",11.1%,  262 ,2.6%,"  29,858 ",46.1%,"  24,749 ",38.2%,"  7,076 ",77.0%,"  6,572 ",71.5%,15%,16%,10%,  3.4 ,2%,54%,1%,2%,  0.87 ,  0.89 ,Likely Decreasing
"Richland County, OH",Richland County ,39139,Small metro,"Mansfield, OH",Metropolitan,OH,5,"  121,154 ",100.0%,1.0%,0.0%,  -   ,  883 ,0.7%,0.0%,  64 ,  53 ,  -   ,  -   ,+8%,-100%,0.0%,  59 ,  49 ,  2 ,  1.7 ,"  11,519 ","  9,508 ",  208 ,  172 ,  -   ,  34 ,ModerateBurden,,Substantial,Moderate,3.2%,"  2,021 ","  1,668 ",  1.0 ,100%,+1.1%,+5%,  -   ,+1%,2.2%,"  1,927 ","  1,591 ",  1.0 ,99%,  8 ,  4 ,  -   ,  -   ,89%,4%,87%,1%,28%,2%,+2%,,-4%,-1%,-2%,-3%,0%,+1%,  3 ,  208 ,  26 ,  61 ,100%,100%,100%,100%,"  39,122 ",32.3%,"  36,453 ",30.1%,  136 ,1.5%,  776 ,0.8%,  141 ,0.6%,,,,  643 ,7.1%,  248 ,2.8%,"  38,479 ",40.5%,"  36,205 ",38.1%,"  16,861 ",70.4%,"  16,368 ",68.4%,8%,14%,20%,  2.4 ,9%,2%,0%,1%,  0.62 ,  0.26 ,Uncertain
"Saline County, AR",Saline County ,5125,Medium metro,"Little Rock-North Little Rock-Conway, AR",Metropolitan,AR,6,"  122,437 ",16.5%,4.1%,0.0%,  -   ,  -   ,0.0%,0.0%,  64 ,  52 ,  2 ,  1.6 ,+5%,+100%,0.0%,  61 ,  50 ,  1 ,  0.8 ,"  12,098 ","  9,881 ",  171 ,  140 ,  -   ,  -   ,ModerateBurden,,High,Substantial,,  193 ,  158 ,  -   ,100%,,-61%,  -   ,+1%,4.2%,  489 ,  399 ,  -   ,99%,  3 ,  2 ,  1 ,  1 ,41%,1%,62%,5%,52%,7%,+200%,,+1%,+1%,+11%,+5%,+11%,+7%,  2 ,  177 ,  16 ,  8 ,50%,50%,50%,50%,"  42,704 ",34.9%,"  35,672 ",29.1%,  240 ,2.4%,  768 ,0.8%,  81 ,0.4%,,,,"  1,328 ",13.2%,  553 ,5.5%,"  41,331 ",43.9%,"  35,119 ",37.3%,"  13,160 ",59.2%,"  11,774 ",53.0%,6%,9%,18%,  2.7 ,8%,5%,0%,1%,  0.33 ,  0.50 ,Uncertain
"Isanti County, MN",Isanti County ,27059,Large fringe metro,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan,MN,5,"  40,596 ",1.1%,0.7%,0.0%,  -   ,  -   ,0.0%,0.0%,  64 ,  158 ,  -   ,  -   ,-22%,,0.0%,  82 ,  202 ,  -   ,  -   ,"  4,334 ","  10,676 ",  64 ,  158 ,  -   ,  30 ,SustainedHotspot,,High,High,9.2%,"  1,240 ","  3,054 ",  1.0 ,99%,+0.6%,+9%,  -   ,-1%,8.6%,"  1,138 ","  2,803 ",  1.0 ,100%,  4 ,  17 ,  2 ,  8 ,98%,13%,,,2%,0%,-20%,,+2%,+3%,,,+2%,0%,  1 ,  24 ,  -   ,  7 ,100%,100%,100%,100%,"  13,178 ",32.5%,"  10,065 ",24.8%,  99 ,3.0%,  303 ,1.0%,  39 ,0.6%,,,,  367 ,11.0%,  205 ,6.1%,"  12,804 ",41.2%,"  9,860 ",31.7%,"  4,908 ",72.9%,"  4,106 ",61.0%,4%,7%,17%,  2.6 ,1%,2%,1%,1%,  0.10 ,  0.11 ,Likely Decreasing
"Grant County, KY",Grant County ,21081,Large fringe metro,"Cincinnati, OH-KY-IN",Metropolitan,KY,4,"  25,069 ",1.1%,0.6%,0.0%,  -   ,  -   ,0.0%,0.0%,  63 ,  251 ,  -   ,  -   ,+5%,,0.0%,  60 ,  239 ,  -   ,  -   ,"  2,407 ","  9,601 ",  19 ,  76 ,  -   ,  -   ,SustainedHotspot,,High,High,2.6%,  442 ,"  1,763 ",  -   ,97%,+0.4%,-9%,  -   ,-3%,2.2%,  485 ,"  1,935 ",  -   ,100%,  -   ,  -   ,  1 ,  12 ,52%,0%,,,0%,0%,,,+21%,0%,,,0%,0%,  1 ,  8 ,  -   ,  3 ,100%,100%,100%,100%,"  8,812 ",35.2%,"  7,515 ",30.0%,  72 ,3.2%,  248 ,1.3%,  27 ,0.8%,,,,  185 ,8.2%,  60 ,2.7%,"  8,626 ",46.6%,"  7,455 ",40.3%,"  2,916 ",82.8%,"  2,740 ",77.8%,6%,18%,14%,  2.8 ,1%,3%,0%,0%,  0.56 ,  0.73 ,Uncertain
"Flathead County, MT",Flathead County ,30029,Micropolitan,"Kalispell, MT",Micropolitan,MT,8,"  103,806 ",100.0%,9.7%,0.0%,  -   ,  -   ,0.0%,0.0%,  63 ,  61 ,  1 ,  1.0 ,-37%,-50%,0.0%,  100 ,  96 ,  2 ,  1.9 ,"  12,109 ","  11,665 ",  96 ,  92 ,  -   ,  5 ,ModerateBurdenResolving,,Substantial,High,9.9%,  923 ,  889 ,  1.0 ,96%,-4.2%,+26%,  -   ,-2%,14.1%,  732 ,  705 ,  1.0 ,98%,  15 ,  4 ,  -   ,  -   ,46%,2%,49%,0%,17%,0%,+114%,,0%,0%,-8%,0%,+7%,0%,  3 ,  352 ,  23 ,  37 ,100%,100%,100%,100%,"  32,356 ",31.2%,"  27,243 ",26.2%,  207 ,2.7%,  627 ,0.8%,  91 ,0.4%,,,,  741 ,9.6%,  268 ,3.5%,"  31,611 ",38.9%,"  26,972 ",33.2%,"  13,129 ",62.5%,"  11,813 ",56.3%,10%,12%,20%,  2.5 ,0%,3%,1%,1%,  0.09 ,  0.02 ,Uncertain
"Chautauqua County, NY",Chautauqua County ,36013,Micropolitan,"Jamestown-Dunkirk-Fredonia, NY",Micropolitan,NY,2,"  126,903 ",100.0%,0.7%,0.0%,  -   ,"  4,465 ",3.5%,0.0%,  63 ,  50 ,  1 ,  0.8 ,-6%,0%,0.0%,  67 ,  53 ,  1 ,  0.8 ,"  8,897 ","  7,011 ",  142 ,  112 ,  -   ,  31 ,ModerateBurden,,Substantial,Substantial,1.2%,"  2,627 ","  2,070 ",  1.0 ,99%,0.0%,-32%,  -   ,+1%,1.2%,"  3,845 ","  3,030 ",  1.0 ,98%,  4 ,  3 ,  -   ,  -   ,92%,2%,51%,6%,4%,1%,-33%,,+7%,0%,+10%,-4%,+2%,+1%,  3 ,  154 ,  20 ,  27 ,100%,100%,100%,100%,"  58,288 ",45.9%,"  49,929 ",39.3%,  671 ,7.5%,"  1,218 ",1.2%,  163 ,0.6%,,,,"  1,932 ",21.5%,  518 ,5.8%,"  56,355 ",55.6%,"  49,411 ",48.8%,"  20,770 ",79.0%,"  18,853 ",71.7%,6%,19%,21%,  2.4 ,2%,8%,0%,1%,  0.72 ,  0.79 ,Uncertain
"Missoula County, MT",Missoula County ,30063,Small metro,"Missoula, MT",Metropolitan,MT,8,"  119,600 ",100.0%,11.2%,0.0%,  1 ,"  7,968 ",6.7%,0.0%,  63 ,  53 ,  -   ,  -   ,+57%,,0.0%,  40 ,  33 ,  -   ,  -   ,"  9,177 ","  7,673 ",  94 ,  79 ,  -   ,  -   ,ModerateBurden,,Substantial,Moderate,3.1%,"  1,372 ","  1,147 ",  1.0 ,99%,-0.5%,+14%,  -   ,0%,3.6%,"  1,203 ","  1,006 ",  1.0 ,99%,  5 ,  1 ,  -   ,  -   ,60%,1%,60%,1%,10%,0%,+64%,-100%,-3%,-1%,-6%,0%,-3%,0%,  2 ,  346 ,  39 ,  58 ,100%,100%,100%,100%,"  63,683 ",53.2%,"  55,393 ",46.3%,  971 ,12.9%,  537 ,0.6%,  43 ,0.2%,,,,"  2,583 ",34.4%,  839 ,11.2%,"  61,089 ",62.7%,"  54,553 ",56.0%,"  16,803 ",86.9%,"  15,681 ",81.1%,8%,15%,16%,  2.3 ,0%,3%,2%,2%,  0.18 ,  0.01 ,Uncertain
"Belmont County, OH",Belmont County ,39013,Small metro,"Wheeling, WV-OH",Metropolitan,OH,5,"  67,006 ",48.2%,0.6%,0.0%,  -   ,  -   ,0.0%,0.0%,  63 ,  94 ,  -   ,  -   ,-14%,,0.0%,  73 ,  109 ,  -   ,  -   ,"  6,079 ","  9,072 ",  171 ,  255 ,  -   ,  45 ,ModerateBurdenResolving,,Substantial,High,4.7%,  738 ,"  1,101 ",  1.0 ,100%,-0.3%,-3%,  -   ,+1%,4.9%,  763 ,"  1,139 ",  1.0 ,99%,  1 ,  2 ,  -   ,  -   ,28%,0%,43%,2%,10%,0%,-50%,,-12%,-2%,+16%,-14%,+1%,-8%,  2 ,  64 ,  9 ,  11 ,100%,100%,100%,100%,"  22,392 ",33.4%,"  20,999 ",31.3%,  58 ,1.3%,  444 ,0.8%,  72 ,0.5%,,,,  338 ,7.6%,  91 ,2.1%,"  22,052 ",40.5%,"  20,908 ",38.4%,"  9,754 ",68.0%,"  9,543 ",66.6%,6%,14%,21%,  2.5 ,4%,1%,0%,0%,  0.36 ,  0.51 ,Likely Decreasing
"Jefferson County, NY",Jefferson County ,36045,Small metro,"Watertown-Fort Drum, NY",Metropolitan,NY,2,"  109,834 ",100.0%,0.6%,0.0%,  -   ,  -   ,0.0%,0.0%,  63 ,  57 ,  1 ,  0.9 ,-48%,0%,0.1%,  122 ,  111 ,  1 ,  0.9 ,"  6,047 ","  5,506 ",  68 ,  62 ,  -   ,  5 ,ModerateBurdenResolving,,Substantial,High,2.2%,"  1,499 ","  1,365 ",  1.0 ,95%,-1.2%,-26%,  -   ,-1%,3.4%,"  2,025 ","  1,844 ",  1.0 ,96%,  14 ,  7 ,  -   ,  -   ,60%,1%,47%,0%,4%,0%,+74%,,-6%,0%,-9%,0%,0%,0%,  3 ,  200 ,  9 ,  34 ,100%,100%,100%,100%,"  56,704 ",51.6%,"  48,270 ",43.9%,  366 ,4.8%,"  1,255 ",1.5%,  71 ,0.5%,,,,"  1,551 ",20.4%,  393 ,5.2%,"  55,153 ",66.1%,"  47,877 ",57.3%,"  13,772 ",88.2%,"  13,154 ",84.3%,6%,15%,14%,  2.5 ,6%,8%,0%,2%,  0.65 ,  0.78 ,Uncertain
"Lenoir County, NC",Lenoir County ,37107,Micropolitan,"Kinston, NC",Micropolitan,NC,4,"  55,949 ",100.0%,0.5%,0.0%,  -   ,  -   ,0.0%,0.0%,  63 ,  113 ,  -   ,  -   ,-31%,-100%,0.0%,  91 ,  163 ,  1 ,  1.8 ,"  6,147 ","  10,987 ",  117 ,  209 ,  -   ,  1 ,SustainedHotspot,,High,High,3.0%,"  1,682 ","  3,006 ",  1.0 ,99%,-1.6%,+12%,  -   ,0%,4.6%,"  1,506 ","  2,692 ",  1.0 ,99%,  7 ,  4 ,  31 ,  16 ,38%,3%,65%,31%,2%,0%,+32%,+119%,-8%,0%,-10%,+7%,-5%,-3%,  1 ,  200 ,  14 ,  41 ,100%,100%,100%,100%,"  20,880 ",37.3%,"  17,063 ",30.5%,  71 ,1.6%,  294 ,0.7%,  37 ,0.3%,,,,  261 ,5.8%,  83 ,1.8%,"  20,615 ",47.5%,"  16,978 ",39.1%,"  8,695 ",76.9%,"  7,683 ",68.0%,13%,23%,20%,  2.4 ,41%,8%,0%,1%,  0.99 ,  0.98 ,Likely Decreasing
"Bossier Parish, LA",Bossier Parish ,22015,Medium metro,"Shreveport-Bossier City, LA",Metropolitan,LA,6,"  127,039 ",32.2%,2.7%,0.0%,  -   ,  -   ,0.0%,0.0%,  63 ,  50 ,  3 ,  2.4 ,-42%,0%,0.1%,  108 ,  85 ,  3 ,  2.4 ,"  14,105 ","  11,103 ",  306 ,  241 ,  -   ,  22 ,ModerateBurden,,Substantial,Substantial,3.6%,"  1,249 ",  983 ,  -   ,100%,-1.9%,-22%,  -   ,0%,5.6%,"  1,607 ","  1,265 ",  -   ,100%,  -   ,  -   ,  -   ,  -   ,85%,0%,94%,0%,7%,0%,,,-3%,0%,-6%,0%,0%,0%,  1 ,  41 ,  7 ,  14 ,100%,100%,100%,100%,"  39,190 ",30.8%,"  32,933 ",25.9%,  177 ,1.7%,  691 ,0.7%,  65 ,0.3%,,,,  643 ,6.2%,  209 ,2.0%,"  38,544 ",40.3%,"  32,723 ",34.2%,"  13,317 ",70.6%,"  12,404 ",65.7%,9%,17%,15%,  2.5 ,23%,7%,0%,2%,  0.59 ,  0.52 ,Likely Decreasing
"Howard County, MD",Howard County ,24027,Large fringe metro,"Baltimore-Columbia-Towson, MD",Metropolitan,MD,3,"  325,690 ",11.6%,5.4%,0.1%,  -   ,  -   ,0.0%,0.0%,  62 ,  19 ,  3 ,  0.9 ,-11%,,0.0%,  70 ,  21 ,  -   ,  -   ,"  19,185 ","  5,891 ",  236 ,  72 ,  -   ,  35 ,ModerateBurden,,Moderate,Moderate,0.9%,"  8,169 ","  2,508 ",  1.0 ,94%,-0.3%,-12%,  -   ,-3%,1.2%,"  9,251 ","  2,840 ",  1.0 ,97%,  18 ,  5 ,  45 ,  13 ,62%,4%,45%,3%,9%,2%,+50%,-2%,-1%,0%,-11%,-2%,-3%,0%,  1 ,  355 ,  33 ,  58 ,100%,100%,100%,100%,"  220,262 ",67.6%,"  183,355 ",56.3%,"  3,623 ",12.6%,"  3,826 ",1.6%,  270 ,0.6%,,,,"  15,949 ",55.7%,"  5,013 ",17.5%,"  204,302 ",82.8%,"  178,341 ",72.3%,"  44,527 ",95.8%,"  41,617 ",89.5%,4%,5%,14%,  2.8 ,20%,7%,0%,19%,  0.13 ,  0.02 ,Uncertain
"Wayne County, NC",Wayne County ,37191,Small metro,"Goldsboro, NC",Metropolitan,NC,4,"  123,131 ",100.0%,1.2%,0.0%,  -   ,"  1,410 ",1.2%,0.0%,  62 ,  50 ,  -   ,  -   ,+2%,,0.0%,  61 ,  50 ,  -   ,  -   ,"  11,312 ","  9,187 ",  245 ,  199 ,  -   ,  9 ,ModerateBurdenResolving,,Substantial,Substantial,2.1%,"  2,306 ","  1,873 ",  1.0 ,100%,-0.8%,-6%,  -   ,+1%,2.9%,"  2,457 ","  1,995 ",  1.0 ,99%,  10 ,  3 ,  40 ,  13 ,36%,5%,67%,23%,21%,4%,+14%,+11%,-2%,+1%,+8%,+9%,+8%,+3%,  1 ,  305 ,  17 ,  43 ,100%,100%,100%,100%,"  42,550 ",34.6%,"  35,520 ",28.8%,  175 ,1.8%,  626 ,0.7%,  89 ,0.4%,,,,  893 ,9.2%,  339 ,3.5%,"  41,620 ",44.3%,"  35,172 ",37.4%,"  14,229 ",68.4%,"  12,514 ",60.2%,13%,22%,17%,  2.5 ,31%,12%,0%,1%,  0.95 ,  0.94 ,Uncertain
"Warren County, KY",Warren County ,21227,Small metro,"Bowling Green, KY",Metropolitan,KY,4,"  132,896 ",74.1%,3.0%,0.0%,  1 ,"  13,228 ",10.0%,0.0%,  62 ,  47 ,  2 ,  1.5 ,-22%,,0.0%,  80 ,  60 ,  -   ,  -   ,"  16,120 ","  12,130 ",  173 ,  130 ,  -   ,  32 ,ModerateBurden,,Moderate,Substantial,7.0%,  849 ,  639 ,  1.0 ,99%,-1.8%,-10%,  -   ,-1%,8.8%,  940 ,  707 ,  1.0 ,100%,  6 ,  1 ,  -   ,  -   ,65%,1%,86%,1%,24%,2%,-33%,-100%,+6%,-1%,+4%,-3%,0%,-2%,  3 ,  511 ,  87 ,  85 ,100%,100%,100%,100%,"  44,446 ",33.4%,"  39,415 ",29.7%,  330 ,3.2%,  864 ,0.8%,  96 ,0.5%,,,,"  1,465 ",14.4%,  686 ,6.7%,"  42,977 ",41.9%,"  38,728 ",37.8%,"  11,428 ",65.4%,"  10,836 ",62.1%,6%,17%,13%,  2.5 ,9%,6%,0%,4%,  0.71 ,  0.25 ,Uncertain
"Barnstable County, MA",Barnstable County ,25001,Small metro,"Barnstable Town, MA",Metropolitan,MA,1,"  212,990 ",100.0%,3.1%,0.1%,  -   ,"  1,707 ",0.8%,0.0%,  62 ,  29 ,  2 ,  0.9 ,-29%,0%,0.0%,  87 ,  41 ,  2 ,  0.9 ,"  13,885 ","  6,519 ",  468 ,  220 ,  -   ,  48 ,ModerateBurden,,Moderate,Moderate,1.6%,"  4,891 ","  2,296 ",  1.0 ,100%,-0.2%,-9%,  -   ,0%,1.8%,"  5,401 ","  2,536 ",  1.0 ,100%,  7 ,  2 ,  -   ,  -   ,67%,1%,39%,7%,7%,3%,-36%,,+2%,-1%,+3%,+1%,-1%,0%,  2 ,  416 ,  49 ,  61 ,100%,100%,100%,100%,"  10,659 ",5.0%,"  8,386 ",3.9%,  4 ,0.0%,  177 ,0.1%,  29 ,0.0%,,,,  36 ,0.3%,  12 ,0.1%,"  10,621 ",5.9%,"  8,373 ",4.6%,"  4,584 ",6.9%,"  3,829 ",5.7%,3%,7%,31%,  2.2 ,3%,3%,1%,1%,  0.06 ,  0.04 ,Uncertain
